"http_reply_code";"http_method";"duration_milliseconds";"content_type";"server_or_cache_address";"time";"squid_hierarchy";"bytes";"url";"client_address";"etiqueta"
200;"GET";362;"image/gif";"192.168.4.4";"08:30:09";"DEFAULT_PARENT";1294;"http://z.analytics.yahoo.com/p.pl?a=1000115488662&dpid=448168011&vp=163040469&vpm=163040469&vid=8d665f23-47e6-3e04-b60a-0027a0b69a1c&vn=El%20drama%20de%20un%20ni%C3%B1o%20argentino&vpos=20&vstpos=0&vq=1&rn=0.5272031339200769";"10.159.46.201";"allow"
302;"GET";416;"text/html";"63.245.217.39";"08:30:12";"DIRECT";508;"http://download.mozilla.org/?product=firefox-19.0-complete&os=win&lang=es-ES";"192.168.4.4";"allow"
302;"GET";418;"text/html";"192.168.4.4";"08:30:12";"DEFAULT_PARENT";558;"http://download.mozilla.org/?product=firefox-19.0-complete&os=win&lang=es-ES";"10.159.46.201";"allow"
200;"GET";338;"text/html";"173.194.34.233";"08:30:12";"DIRECT";28383;"http://www.youtube.com/watch?v=zrBr0N0WrTY";"192.168.4.4";"deny"
200;"GET";396;"text/html";"192.168.4.4";"08:30:13";"DEFAULT_PARENT";28433;"http://www.youtube.com/watch?v=zrBr0N0WrTY";"10.159.155.5";"deny"
204;"GET";100;"text/html";"74.125.10.183";"08:30:13";"DIRECT";274;"http://r18---sn-aigllnez.c.youtube.com/generate_204?signature=7AEF0794327AC6597461DC19550DA6353170918E.A88956F59757AF41648E3AC45F3A83CC47FE70FC&burst=40&ip=95.39.226.109&fexp=933500%2C907725%2C926504%2C916807%2C914005%2C932000%2C932004%2C906383%2C906387%2C904479%2C904482%2C902000%2C901208%2C929903%2C925714%2C929119%2C931202%2C900821%2C900823%2C912518%2C911416%2C904476%2C908529%2C904830%2C930807%2C919373%2C906836%2C929602%2C930101%2C926403%2C900824%2C912711%2C910075&cp=U0hVTFNNVV9IU0NONV9LR1lIOnozeHprc3J1RHJO&key=yt1&factor=1.25&upn=h4iKyB9XzRQ&source=youtube&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&mt=1367303354&id=ceb06bd0dd16ad36&sver=3&ipbits=8&newshard=yes&algorithm=throttle-factor&itag=34&ms=au&mv=m&expire=1367327739";"192.168.4.4";"deny"
204;"GET";103;"text/html";"192.168.4.4";"08:30:13";"DEFAULT_PARENT";324;"http://r18---sn-aigllnez.c.youtube.com/generate_204?signature=7AEF0794327AC6597461DC19550DA6353170918E.A88956F59757AF41648E3AC45F3A83CC47FE70FC&burst=40&ip=95.39.226.109&fexp=933500%2C907725%2C926504%2C916807%2C914005%2C932000%2C932004%2C906383%2C906387%2C904479%2C904482%2C902000%2C901208%2C929903%2C925714%2C929119%2C931202%2C900821%2C900823%2C912518%2C911416%2C904476%2C908529%2C904830%2C930807%2C919373%2C906836%2C929602%2C930101%2C926403%2C900824%2C912711%2C910075&cp=U0hVTFNNVV9IU0NONV9LR1lIOnozeHprc3J1RHJO&key=yt1&factor=1.25&upn=h4iKyB9XzRQ&source=youtube&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&mt=1367303354&id=ceb06bd0dd16ad36&sver=3&ipbits=8&newshard=yes&algorithm=throttle-factor&itag=34&ms=au&mv=m&expire=1367327739";"10.159.155.5";"deny"
200;"GET";877;"application/octet-stream";"8.27.153.126";"08:30:13";"DIRECT";1529759;"http://au.download.windowsupdate.com/msdownload/update/software/uprl/2013/02/wu-windows6.1-kb2729094-v2-x64_7d08944484d693e51abaf9c37ec5b54019309e22.exe";"192.168.4.4";"allow"
200;"GET";122;"text/javascript";"173.194.34.250";"08:30:13";"DIRECT";962;"http://googleads.g.doubleclick.net/pagead/ads?ad_block=3&client=ca-pub-6219811747049371&output=js&num_ads=1&channel=PyvWatchInRelated%2BPyvYTWatch%2BPyvWatchNoAdX%2Blpw%2Bafv_ugc%2Byt_mpvid_AATbjiI3DGhjcd0M%2Bytdevice_1%2BVertical_5%2BVertical_13%2BVertical_32%2BVertical_311%2BVertical_314%2BVertical_344&ad_type=text&ea=0&cust_age=1000&cust_gender=2&flash=11.2.202&hl=es&url=http%3A%2F%2Fwww.youtube.com%2Fvideo%2FzrBr0N0WrTY&video_doc_id=yt_zrBr0N0WrTY&pyv=1&dt=1367303413523&shv=r20130423&cbv=r20130206&saldr=1&correlator=1367303413556&frm=23&adk=511001906&ga_vid=1682007277.1367303414&ga_sid=1367303414&ga_hid=2144816857&ga_fc=0&u_tz=120&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1032&u_aw=1920&u_cd=24&u_nplug=10&u_nmime=184&dff=times%20new%20roman&dfs=16&biw=1905&bih=878&isw=0&ish=0&ifk=2075071579&eid=40210018%2C317150302%2C86860102&oid=3&loc=http%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DzrBr0N0WrTY&fu=68&ifi=1&dtd=67";"192.168.4.4";"deny"
200;"GET";124;"text/javascript";"192.168.4.4";"08:30:13";"DEFAULT_PARENT";1012;"http://googleads.g.doubleclick.net/pagead/ads?ad_block=3&client=ca-pub-6219811747049371&output=js&num_ads=1&channel=PyvWatchInRelated%2BPyvYTWatch%2BPyvWatchNoAdX%2Blpw%2Bafv_ugc%2Byt_mpvid_AATbjiI3DGhjcd0M%2Bytdevice_1%2BVertical_5%2BVertical_13%2BVertical_32%2BVertical_311%2BVertical_314%2BVertical_344&ad_type=text&ea=0&cust_age=1000&cust_gender=2&flash=11.2.202&hl=es&url=http%3A%2F%2Fwww.youtube.com%2Fvideo%2FzrBr0N0WrTY&video_doc_id=yt_zrBr0N0WrTY&pyv=1&dt=1367303413523&shv=r20130423&cbv=r20130206&saldr=1&correlator=1367303413556&frm=23&adk=511001906&ga_vid=1682007277.1367303414&ga_sid=1367303414&ga_hid=2144816857&ga_fc=0&u_tz=120&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1032&u_aw=1920&u_cd=24&u_nplug=10&u_nmime=184&dff=times%20new%20roman&dfs=16&biw=1905&bih=878&isw=0&ish=0&ifk=2075071579&eid=40210018%2C317150302%2C86860102&oid=3&loc=http%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DzrBr0N0WrTY&fu=68&ifi=1&dtd=67";"10.159.155.5";"deny"
204;"GET";53;"text/html";"173.194.34.225";"08:30:13";"DIRECT";274;"http://clients1.google.com/generate_204";"192.168.4.4";"allow"
204;"GET";55;"text/html";"192.168.4.4";"08:30:13";"DEFAULT_PARENT";324;"http://clients1.google.com/generate_204";"10.159.155.5";"allow"
200;"GET";1242;"application/octet-stream";"192.168.4.4";"08:30:13";"DEFAULT_PARENT";41425;"http://au.download.windowsupdate.com/msdownload/update/software/uprl/2013/02/wu-windows6.1-kb2729094-v2-x64_7d08944484d693e51abaf9c37ec5b54019309e22.exe";"10.159.76.30";"allow"
200;"HEAD";67;"application/octet-stream";"8.27.153.126";"08:30:13";"DIRECT";380;"http://au.download.windowsupdate.com/msdownload/update/software/uprl/2013/02/wu-ie10-kb2718695-x64-ca-es_346661c480888858ce7ac8b5db5a1bb056afe617.exe";"192.168.4.4";"allow"
200;"HEAD";69;"application/octet-stream";"192.168.4.4";"08:30:13";"DEFAULT_PARENT";465;"http://au.download.windowsupdate.com/msdownload/update/software/uprl/2013/02/wu-ie10-kb2718695-x64-ca-es_346661c480888858ce7ac8b5db5a1bb056afe617.exe";"10.159.76.30";"allow"
200;"HEAD";119;"application/octet-stream";"8.27.153.126";"08:30:14";"DIRECT";380;"http://au.download.windowsupdate.com/msdownload/update/software/uprl/2013/02/wu-windows6.1-kb2729094-v2-x64_7d08944484d693e51abaf9c37ec5b54019309e22.exe";"192.168.4.4";"allow"
200;"HEAD";122;"application/octet-stream";"192.168.4.4";"08:30:14";"DEFAULT_PARENT";465;"http://au.download.windowsupdate.com/msdownload/update/software/uprl/2013/02/wu-windows6.1-kb2729094-v2-x64_7d08944484d693e51abaf9c37ec5b54019309e22.exe";"10.159.76.30";"allow"
204;"GET";82;"video/x-flv";"173.194.34.233";"08:30:14";"DIRECT";738;"http://www.youtube.com/ptracking?video_id=zrBr0N0WrTY&pltype=contentugc&ptk=youtube_none&plid=AATbjiI2Tpp4L8Xd&cpn=tYAYnB4uTVp3PDIQ";"192.168.4.4";"deny"
204;"GET";85;"video/x-flv";"192.168.4.4";"08:30:14";"DEFAULT_PARENT";788;"http://www.youtube.com/ptracking?video_id=zrBr0N0WrTY&pltype=contentugc&ptk=youtube_none&plid=AATbjiI2Tpp4L8Xd&cpn=tYAYnB4uTVp3PDIQ";"10.159.155.5";"deny"
204;"GET";166;"text/html";"173.194.34.228";"08:30:14";"DIRECT";480;"http://s.youtube.com/stream_204?scoville=1&vfs=0.000:34:34::i&cpn=tYAYnB4uTVp3PDIQ&view=0.000:640:360&bwe=0.000:772318.650&fv=LNX%2011,2,202,280&event=streamingstats&el=detailpage&ns=yt&docid=zrBr0N0WrTY&fexp=931202,926403,912518,916807,929602,907725,906383,925714,906387,906836,914005,900823,901208,904476,900821,919373,929119,932000,904482,932004,904479,926504,900824,912711,929903,902000,908529,930101,930807,911416,910075,933500,904830&plid=AATbjiI2Tpp4L8Xd&fmt=34";"192.168.4.4";"deny"
204;"GET";171;"text/html";"192.168.4.4";"08:30:14";"DEFAULT_PARENT";530;"http://s.youtube.com/stream_204?scoville=1&vfs=0.000:34:34::i&cpn=tYAYnB4uTVp3PDIQ&view=0.000:640:360&bwe=0.000:772318.650&fv=LNX%2011,2,202,280&event=streamingstats&el=detailpage&ns=yt&docid=zrBr0N0WrTY&fexp=931202,926403,912518,916807,929602,907725,906383,925714,906387,906836,914005,900823,901208,904476,900821,919373,929119,932000,904482,932004,904479,926504,900824,912711,929903,902000,908529,930101,930807,911416,910075,933500,904830&plid=AATbjiI2Tpp4L8Xd&fmt=34";"10.159.155.5";"deny"
