@ATTRIBUTE label { deny,allow,no label }

@DATA

200, GET, 47, text, text/html, 91.216.63.240, "08:30:15", DIRECT, 443, elpais, 192.168.4.4, no label
200, GET, 51, text, text/html, 192.168.4.4, "08:30:15", DEFAULT_PARENT, 523, elpais, 10.159.146.56, no label
200, GET, 1544, text, text/html, 66.219.34.171, "08:30:16", DIRECT, 9206, pfsense, 192.168.4.4, no label
200, GET, 1564, text, text/html, 192.168.4.4, "08:30:16", DEFAULT_PARENT, 9286, pfsense, 10.159.155.5, no label
200, GET, 108, image, image/gif, 173.194.34.238, "08:30:16", DIRECT, 510, google-analytics, 192.168.4.4, no label
200, GET, 110, image, image/gif, 192.168.4.4, "08:30:16", DEFAULT_PARENT, 560, google-analytics, 10.159.155.5, no label
200, GET, 629, text, text/html, 66.219.34.171, "08:30:16", DIRECT, 5456, pfsense, 192.168.4.4, no label
200, GET, 642, text, text/html, 192.168.4.4, "08:30:16", DEFAULT_PARENT, 5506, pfsense, 10.159.155.5, no label
200, GET, 335, image, image/gif, 66.219.34.171, "08:30:16", DIRECT, 727, pfsense, 10.159.155.5, no label
200, GET, 1648, video, video/x-flv, 74.125.10.183, "08:30:16", DIRECT, 1782199, youtube, 192.168.4.4, no label
200, GET, 1650, video, video/x-flv, 192.168.4.4, "08:30:16", DEFAULT_PARENT, 1782249, youtube, 10.159.155.5, no label
304, GET, 213, null, null, 66.219.34.171, "08:30:16", DIRECT, 392, pfsense, 192.168.4.4, no label
304, GET, 216, null, null, 192.168.4.4, "08:30:16", DEFAULT_PARENT, 442, pfsense, 10.159.155.5, no label
200, GET, 397, text, text/html, 173.194.34.250, "08:30:16", DIRECT, 1411, doubleclick, 192.168.4.4, no label
200, GET, 402, text, text/html, 192.168.4.4, "08:30:16", DEFAULT_PARENT, 1461, doubleclick, 10.159.155.5, no label
200, GET, 356, text, text/html, 173.194.34.237, "08:30:16", DIRECT, 1420, doubleclick, 192.168.4.4, no label
200, GET, 50, image, image/gif, 173.194.34.238, "08:30:16", DIRECT, 510, google-analytics, 192.168.4.4, no label
200, GET, 52, image, image/gif, 192.168.4.4, "08:30:16", DEFAULT_PARENT, 560, google-analytics, 10.159.155.5, no label
200, GET, 400, text, text/html, 192.168.4.4, "08:30:16", DEFAULT_PARENT, 1470, doubleclick, 10.159.155.5, no label
200, GET, 91, text, text/html, 173.194.34.250, "08:30:16", DIRECT, 494, doubleclick, 192.168.4.4, no label
200, GET, 94, text, text/html, 192.168.4.4, "08:30:16", DEFAULT_PARENT, 544, doubleclick, 10.159.155.5, no label
304, GET, 143, text, text/javascript, 90.84.53.82, "08:30:16", DIRECT, 387, adroll, 192.168.4.4, no label
304, GET, 145, text, text/javascript, 192.168.4.4, "08:30:16", DEFAULT_PARENT, 437, adroll, 10.159.155.5, no label
200, GET, 83, text, text/html, 173.194.34.237, "08:30:16", DIRECT, 494, doubleclick, 192.168.4.4, no label
200, GET, 85, text, text/html, 192.168.4.4, "08:30:16", DEFAULT_PARENT, 544, doubleclick, 10.159.155.5, no label
302, GET, 144, null, null, 79.125.9.92, "08:30:17", DIRECT, 628, adroll, 192.168.4.4, no label
302, GET, 146, null, null, 192.168.4.4, "08:30:17", DEFAULT_PARENT, 678, adroll, 10.159.155.5, no label
302, GET, 155, null, null, 79.125.9.92, "08:30:17", DIRECT, 628, adroll, 192.168.4.4, no label
302, GET, 157, null, null, 192.168.4.4, "08:30:17", DEFAULT_PARENT, 678, adroll, 10.159.155.5, no label
304, GET, 241, null, null, 90.84.53.82, "08:30:17", DIRECT, 288, adroll, 192.168.4.4, no label
304, GET, 243, null, null, 192.168.4.4, "08:30:17", DEFAULT_PARENT, 338, adroll, 10.159.155.5, no label
200, GET, 5497, application, application/octet-stream, 192.168.4.4, "08:30:18", DEFAULT_PARENT, 169576, mozilla, 10.159.46.201, no label
