---36 features

0,66.426214
1,52.94668269999998
2,71.4723127
3,72.2498161
4,70.9908452
5,81.297433
6,86.92199280000001
7,86.9526132
8,79.76283989999999
9,79.9006454
10,81.0031034
11,82.5274841
12,82.82011329999999
13,82.82011329999999
14,82.8660497
15,82.9068805
16,82.9068805
17,82.90858180000001
18,82.9681272
19,83.90385280000001
20,87.65694599999999
21,90.8503142
22,90.80097590000001
23,90.80097590000001
24,91.05617070000001
25,91.1225217
26,91.01874089999998
27,91.0510669
28,91.0238457
29,90.98641719999999
30,91.0476638
31,90.9047525
32,90.90475310000001
33,90.9336748
34,90.9336748
35,90.979609

---Sin time, subdomain5, ni client_address

0,66.426214
1,52.94668269999998
2,71.4723127
3,72.2498161
4,70.9908452
5,81.297433
6,81.71935979999999
7,71.50294140000001
8,72.93545610000001
9,74.7201483
10,78.3949826
11,79.2711654
12,79.2711654
13,79.37834749999999
14,79.39705900000001
15,79.4004615
16,79.4617086
17,80.698562
18,85.87735090000001
19,90.4692176
20,90.42158129999999
21,90.42158129999999
22,90.8877401
23,90.93707789999999
24,90.835002
25,90.73121919999998
26,90.66826610000001
27,90.70740079999999
28,90.7652478
29,90.6325433
30,90.6070221
31,90.6240352
32,90.6240352
